	SRR13633672	SRR13633673	SRR13633676	SRR13633677
Gene	control	control	agonist	agonist
SOD2	-1.0891060195812516	-0.6092668020507096	0.863450375933078	0.8349224456988862
PPM1K	-0.8483710067849346	-0.8831770148368306	0.8419442004937879	0.8896038211279766
NFKB2	-0.0997712027626278	-1.321598532064987	1.0522087066995933	0.36916102812802337
GBP1	-0.8041380897385938	-0.9253045100859861	0.8937699074701257	0.8356726923544537
TNIP1	-0.41156138609720977	-1.1952088959077116	1.039221473073798	0.5675488089311232
CCL5	-0.7564319070305087	-0.9658559019916714	0.937940708028003	0.7843471009941776
PLAUR	-0.9050469055926796	-0.8260658295417523	0.873609102143318	0.8575036329911131
IFIT3	-0.7582319957948336	-0.9618099705980075	0.9618385601047537	0.7582034062880868
SQOR	-1.068845938855636	-0.5749638096757258	0.525316159146901	1.118493589384462
CXCL11	-0.684786362695618	-1.0218405156577364	0.977050957875295	0.7295759204780582
IFIT2	-0.8053957142909735	-0.9238862024198617	0.900446367502563	0.8288355492082717
SDC4	-1.197760051800033	-0.44391617415921775	0.7189585929770714	0.9227176329821895
STING1	-0.9234989911917855	-0.8061061153672723	0.8367344956547338	0.8928706109043226
OASL	-0.781796110348992	-0.9459025650470374	0.892061239424251	0.83563743597178
IL6	-0.8819144682537304	-0.8466873136126809	0.7890831951554922	0.9395185867109179
ISG15	-0.707671405415492	-0.986397871413815	0.6333935095570856	1.0606757672722213
MX2	-0.7569462596627892	-0.9680824108304823	0.8940329710932312	0.8309956994000416
IFIT1	-0.7696869426137828	-0.9561174619472043	0.9088423150819976	0.8169620894789908
ISG20	-0.8798279086060568	-0.8453837635362105	0.7552478211414559	0.9699638510008131
SAA2	-0.9648820689208869	-0.7459008390785686	0.6984751511735044	1.0123077568259498
BIRC3	-0.22406989133347044	-1.2237117612737614	1.1734941805532324	0.2742874720539993
RICTOR	-0.8539486010056938	-0.86234518617276	0.6933737392657618	1.0229200479126905
C6orf62	-1.1541259874810894	-0.493150071876745	0.6391969770875094	1.0080790822703107
CASP1	-1.0802491015246372	-0.6097723826492767	0.7162605740700975	0.9737609101038166
B2M	-0.8792513785112477	-0.8267395916430448	0.642976359909988	1.0630146102443108
APOL1	-0.8628757148200613	-0.8582721218253131	0.7233887735789498	0.9977590630664226
SAR1A	-0.6354061600025317	-1.068048154011917	0.899965381349342	0.803488932665103
STAT1	-0.7873753998281097	-0.9411515485724781	0.8506429622490831	0.8778839861515046
EIF2AK2	-0.755365080825864	-0.962510364286654	0.976090125112596	0.7417853199999208
EXT1	-0.2850647762701726	-1.130401264502226	1.2730466493798134	0.1424193913925853
IRAK2	-0.5773821159997121	-1.031658031981642	1.196825120009418	0.4122150279719333
STARD4	-1.0642588450139425	-0.54299166409708	0.4288679570869728	1.1783825520240532
XRN1	-0.8946172610968252	-0.8328691760604519	0.780423963796737	0.9470624733605424
IFIH1	-0.7659467172827134	-0.9606138046462819	0.8678149420431183	0.8587455798858759
NFKBIA	-0.4954470605040951	-1.0234491853236896	1.2855474825900162	0.23334876323777573
NCOA7	-0.7336183584094664	-0.9854713635346024	0.9402156729519033	0.7788740489921655
SAT1	-1.1989503351245385	-0.35741749388020017	0.443796101183246	1.1125717278214937
NBN	-0.21289877416059588	-1.267425673429199	1.0955676537108219	0.38475679387896644
CD55	-0.7181884305822775	-0.8445567766378623	0.2570430613048179	1.305702145915322
C5orf15	-1.2349413064048458	-0.21231119105977106	0.28626253728775863	1.1609899601768519
SEMA3A	-0.6989296232072798	-1.017642206683061	0.8942879801221529	0.822283849768193
NCF2	-0.8286348688989142	-0.8960119387722556	0.7543336959526484	0.9703131117185214
ERAP1	-0.9110909482565034	-0.8180440759135913	0.9182480856749593	0.8108869384951372
PRRG4	-0.6537945300936244	-0.9781136864931417	1.1929714255566262	0.4389367910301482
MASTL	-0.765692181632892	-0.954488185179561	0.9676948769734085	0.7524854898390471
NEK7	-1.127175961492059	-0.5555654047745441	0.8914315459891913	0.7913098202774116
SMARCA5	-0.513634295738399	-1.107222398060423	1.1239966493140705	0.49686004448474974
SH3KBP1	-0.7902325913947446	-0.9289893244933215	0.7279878436363962	0.9912340722516648
CD2AP	-0.7155576634663084	-1.0019688700828115	0.9261684480182241	0.7913580855308959
LIPA	-0.39562937940495113	-1.2293249169854283	0.8899349107230602	0.7350193856673176
TOR1B	-0.5174209736015097	-1.0952180533752292	1.147252524484666	0.46538650249206887
TMEM154	-1.216134700834475	-0.048622870814906155	0.032859666722661045	1.2318979049267171
BST2	-0.40306481080027773	-1.2136293010565353	0.9783363971461989	0.6383577147106132
SP100	-0.7846515667618524	-0.9433024533757193	0.8357825746361788	0.89217144550139
FGF2	-0.634905577201843	-1.066412729116553	0.929452584069168	0.7718657222492306
IL7R	-0.6268735839630449	-1.0122600286619228	1.1652398050296242	0.47389380759534433
SERPINE1	-0.6314814904519004	-1.0648343886318952	0.9677720507237922	0.728543828360003
DDX60L	-0.6637429308830486	-1.0456961299551892	0.904085379645888	0.805353681192351
ENPP1	-0.8747888693962339	-0.7989526771893071	1.1496915456283199	0.5240500009572211
RNF149	-0.8501323431348461	-0.8806689981036357	0.8214662108027098	0.9093351304357666
C4BPB	-1.1046267515446877	-0.4599754671093791	0.3674322998699213	1.1971699187841465
ZNFX1	-0.795037226225418	-0.9300896574526281	0.9486379898223745	0.7764888938556752
PXK	-0.9943741226752142	-0.7262480998634351	0.9022240284413033	0.8183981940973445
CD274	-0.7717962803720275	-0.9534509925487199	0.921879986548468	0.8033672863722794
BMAL2	-0.4661311735806324	-1.170830413968658	1.0082915563598671	0.6286700311894308
APOL2	-0.7304314954597266	-0.9791148935353337	1.0073009421940273	0.702245446801035
GTPBP1	-0.4948006641621398	-1.1478145334932195	1.031785335966643	0.6108298616887112
NECTIN2	-0.5058865071766349	-1.1547466726962294	0.7042458068297079	0.9563873730431542
SYT13	-1.0546078589774248	-0.5764661282655118	0.4799122844481615	1.1511617027947767
UBE2L6	-0.7385041122900778	-0.9820986985615033	0.9305039910593089	0.790098819792273
KRT17	-0.3900983721036901	-1.2306838069591288	0.9098224512510141	0.7109597278118029
SCN3A	-0.6439914942062521	-0.979162748533811	0.41838478967269466	1.2047694530673687
PSMB8	-0.7154794647671342	-1.0041575338702051	0.8355174795146587	0.8841195191226774
THEMIS2	-0.8123008093395042	-0.9181271501972603	0.8683340473765468	0.8620939121602174
GBP4	-0.8893742161814587	-0.839995456807431	0.928172643227872	0.8011970297610176
IDO1	-0.8658015024096625	-0.8659707051676651	0.8439201443517893	0.8878520632255377
PRKD2	-0.8561868413549437	-0.8709922380509999	0.7720941087329597	0.9550849706729825
DNPEP	-0.9788689718856148	-0.7452614656546527	0.8554319366456785	0.8686985008945867
IGFBP6	-0.14861778003055018	-1.3001948024002123	0.3795314720668948	1.0692811103638746
OAS2	-0.7320972787155601	-0.9878435529914011	0.9274257974926734	0.7925150342142888
PLSCR1	-1.0755106116939255	-0.6162235022291417	0.7182673639198522	0.973466750003222
CMTR1	-0.8381330918430739	-0.8917686731448131	0.9197299647288757	0.8101718002590127
HIP1R	-1.0631832345481216	-0.3651343623866006	0.11571384346997797	1.3126037534647426
CXCL10	-0.7876111501387744	-0.9361704601368009	0.9555444910828691	0.7682371191927062
HERC5	-0.8795557500352396	-0.8520924119567622	0.8432683101100757	0.8883798518819255
CCDC71L	-0.8043275375271778	-0.47362868005799535	-0.17100554498373693	1.4489617625689102
MUC13	-0.8179657052746819	-0.8643733471871151	1.1315644968726162	0.5507745555891791
CEACAM1	-1.088328539777278	-0.588362828194119	0.6598475044560804	1.016843863515318
SLIT2	-0.4334321833846122	-1.0082761294828564	0.10593369026516747	1.3357746226023015
ODF3B	-0.8991600110081125	-0.5478151505649028	0.07366403692601424	1.3733111246469996
PSME2	-0.9193445397793255	-0.733084482210215	0.47115682359462896	1.181272198394909
C1R	-0.6330466078813665	-0.4967544344292141	-0.360913128161291	1.4907141704718712
PLAAT4	-0.7648525391715364	-0.9527333984910152	0.731810808480815	0.9857751291817366
PDLIM7	-0.8751330000916065	-0.38547244060553104	-0.17312437376970496	1.4337298144668427
CD40	-1.112613894464922	-0.4164351502663064	0.30644341771845046	1.2226056270127803
DDX60	-0.6602331457161005	-1.049764966948784	0.8594112443444758	0.8505868683204088
AVPI1	-0.5384327136366654	-0.961570044137802	0.17534098942351642	1.3246617683509492
HELZ2	-0.7771357434053151	-0.9355412490923917	0.6917308304902104	1.0209461620074978
CCND3	-0.7651783400442609	-0.9549358143660227	0.9677681403948347	0.7523460140154488
PSME1	-0.9584992317902992	-0.5896137208156059	0.25670358616397215	1.2914093664419268
MVP	-0.45799889023657997	-1.168359257279873	1.0397328758383357	0.58662527167812
IFI6	-0.5400574957105577	-1.0633952070023704	0.41962803277043637	1.1838246699424881
ICAM1	-0.04879314284484281	-1.2056811513661114	1.2425010388762259	0.011973255334712544
OGFR	-0.8416751268467854	-0.8584239231292722	0.6160378167531051	1.0840612332229511
MFSD12	-0.5665540079338705	-1.0051510313844791	0.32025634544194886	1.2514486938764022
HLA-B	-0.5639749303525253	-1.1213780358313	0.7966532912387595	0.8886996749450581
LY6E	-0.7097416770132579	-0.9619059908477758	0.5410352198789119	1.13061244798213
CFB	-0.9950775188641289	-0.6237970199968927	0.41553333253220853	1.203341206328813
PLEKHA4	-0.9535061683720107	-0.7554923739425861	0.6816998918551588	1.0272986504594406
HES4	-0.9429652524836751	-0.4878541480959482	0.06379908640431783	1.3670203141753052
GSDMD	-0.8849443484683034	-0.7060964424944749	0.3198125467144569	1.2712282442483214
TENT5A	-0.4114603388017744	-1.1779629610137545	1.0946870147917787	0.4947362850237491
APOL3	-0.6387600254571489	-1.0481114476076443	1.03142555002225	0.6554459230425423
TRIB2	-1.2201750993263598	-0.021877207372427033	0.013018279842147236	1.229034026856638
IFI44	-0.8495784083991116	-0.8569980566401766	0.6440404805795236	1.0625359844597684
SHISA5	-0.14124033196776878	-1.1432392991119655	1.2934352978116084	-0.008955666731876663
TNIP3	-1.2758193845498844	1.1676836883022703	0.0924933453755202	0.015642350872093726
GDA	0.8884911811667234	-0.6180624311669752	0.8113627211089738	-1.081791471108721
TSPAN13	-0.5702298870746328	1.288741176249864	-0.9740136539656388	0.25550236479037514
LINC02015	-1.1565993846705218	0.338807016120631	1.1877079362978538	-0.3699155677479634
SPX	0.0056347225035684135	-0.7114050071719884	1.4123225681202871	-0.706552283451867
LAMB3	0.016994005163346305	-1.4050005675722441	0.8706434525487463	0.5173631098601631
FYN	-0.48938044737297415	1.4945585049907342	-0.3986414720055422	-0.6065365856122311
NFKBIZ	-0.48947559279342284	0.7252217698077911	-1.1682727502236065	0.9325265732092322
CA9	-1.0948122276453889	1.3311673440139375	-0.09127200195302931	-0.1450831144155198
ENO2	0.19608567309910208	1.0460517388794173	-1.3612962025314628	0.11915879055293858
TRPC4	-0.7862146118474456	-0.7862146118474456	0.27266503465441444	1.2997641890404767
EPB41L3	1.1174458103743015	-0.8441962714561805	-0.8441962714561805	0.5709467325380597
PTGER4	-0.8450599894422668	0.706102743150277	-0.8732933461580865	1.0122505924500627
CITED2	-0.5346021702634473	-0.9591212951871771	0.16433192016239587	1.3293915452882286
AKR1B1	1.3526300906570787	-0.5043001679904535	0.10320651569593808	-0.9515364383625714
SAA1	-1.414885629425381	0.8114630275287465	0.02102732174789284	0.5823952801487455
CCN1	-0.9674814648062724	1.2327630877729605	-0.6371641582864727	0.3718825353197919
SP8	-1.1897509272859514	-0.3871721540596135	0.47923084046429626	1.0976922408812693
PFKFB4	-1.2900284134318198	0.0889247506995682	0.049827727600371186	1.15127593513188
FZD4	-1.046467415165868	-0.6304177245645936	1.0637285610258473	0.6131565787046139
CYFIP2	0.3157041244586233	1.275378402610696	-0.8586642862021687	-0.7324182408671458
PDE4A	0.3176138749315316	1.2756566279580612	-0.7608152409156822	-0.8324552619739145
S1PR3	-0.24960295514428102	-0.9934847053606701	1.3890244616523268	-0.14593680114737598
GK	0.36027452317084346	1.2381869139797241	-0.9717936795122358	-0.6266677576383342
ATF3	-0.6589034337107436	-1.0369546897357567	1.0101077425809306	0.6857503808655665
ARFGEF3	1.1364451195180247	-0.27386874320898247	0.36289988759755126	-1.2254762639066004
ITGA1	-1.0252061214973387	-0.4319804591328942	0.13671115424945038	1.320475426380779
