	SRR17933311	SRR17933310	SRR17933309	SRR17933308	SRR17933307	SRR17933306
Gene	Par	Par	sgSTING	sgSTING	sgSTING	sgSTING
SOD2	1.1828901729023484	1.3139441929456426	-0.26836927560994656	-0.43419048796750537	-0.8520408790706439	-0.9422337231998926
PPM1K	0.254046339105867	1.7722845731144405	-0.7887539420423821	-1.0674236566550535	-0.1811644566161045	0.011011143093258539
NFKB2	1.2868801122090956	1.1964506097014063	-0.1501597236190681	-0.5538026928707579	-0.8975698026435835	-0.8817985027771021
GBP1	0.9566745234924773	1.2555688918799697	-1.3505391929116974	-0.6930919102784826	0.22373040849977963	-0.3923427206820762
TNIP1	1.129716204051989	1.3734536773930899	-0.3707299183753015	-0.3973347970122263	-0.7319876310266642	-1.0031175350308807
CCL5	1.429071339979317	1.1326647784505062	-0.6938214655438985	-0.6938214655438985	-0.4802717217981272	-0.6938214655438985
PLAUR	0.9558443405018997	1.3877032411379995	-0.6712734413507535	-0.16366845322488485	-1.2764619936484323	-0.23214369341582422
IFIT3	1.3054039561450281	1.2723287601412363	-0.5934696733771759	-0.5793274339034231	-0.7367568390530946	-0.6681787699525695
SQOR	1.4091549392420224	1.1045819404353472	-0.8893078597628964	-0.2717899358811742	-0.761837404373943	-0.5908016796593524
CXCL11	0.9335776960881058	1.5578029662556254	-0.5647590812739839	-0.330823673542243	-0.7978989537637521	-0.7978989537637521
IFIT2	1.2508515075907867	1.327991832067681	-0.696711909460566	-0.6623577479292663	-0.5665335776143214	-0.653240104654315
SDC4	1.36253085350083	1.0558368316957172	-0.08643132211187472	-0.4586178156885993	-1.1043739030167352	-0.7689446443793221
STING1	1.3056810697024184	1.2337618383983138	-0.7145114328961796	-0.2898682824258107	-0.7791281158003509	-0.7559350769783835
OASL	1.289318901256336	1.2919224403836933	-0.6538272785883692	-0.6011383991081853	-0.6523645919015398	-0.6739110720419346
IL6	0.8785149360425174	1.3049413947614361	-0.06761522206017694	0.11124983385643823	-1.2327597453930188	-0.9943311972071961
ISG15	1.367422460365292	1.143288134524746	-0.22646133928482515	-0.6417881541357959	-0.7469606091577896	-0.8955004923116309
MX2	1.5016951588175573	0.9819503069288871	-0.6317305173521207	-0.26977329091453267	-0.9602424243091453	-0.6218992331706451
IFIT1	1.2530374948226701	1.2990867230794314	-0.5680962761455738	-0.6077021142971304	-0.9152081648688764	-0.46111766259052
ISG20	1.2515613134706753	1.2936272271820721	-0.7100469147531838	-0.6727526425487524	-0.8339652002259313	-0.32842378312488
SAA2	1.3401992328120762	1.2300501315156673	-0.6351299887814554	-0.5274583764407849	-0.7999697334788068	-0.6076912656266976
BIRC3	1.104247155946866	1.3948323604151358	-0.6042553473997121	-0.9623668311963016	-0.6997539554123355	-0.23270338235365465
RICTOR	-1.1456972891584805	-0.7794661789161619	-0.4274626591600861	0.04796061055488572	0.8066131606070706	1.4980523560727812
C6orf62	-1.3377044583263575	-0.8157190361611459	0.1472405182657501	-0.16429118575928686	0.819719823202002	1.3507543387790526
CASP1	1.4459969318272106	0.45838857411772677	-1.584171701410051	-0.3470793741188283	0.1985649502345921	-0.17169938065063403
B2M	-0.8900374435866669	-1.2421062552924174	-0.06746378156675373	-0.07293083747248323	0.9453242356233532	1.3272140822951501
