	SRR29733210	SRR29733211	SRR29733212	SRR29733213	SRR29733206	SRR29733207	SRR29733208	SRR29733209
Gene	STING WT	STING WT	STING WT	STING WT	STING KO	STING KO	STING KO	STING KO
SOD2	1.718942754793701	1.3841232324548438	-0.3928289064386673	-0.3891066961316563	-0.13389456214874057	-0.3701102445826891	-0.8141221132016417	-1.0030034647451314
PPM1K	0.9342498531075422	0.7045695182138058	-0.22126380341225696	-0.7674416277306312	0.7395033562585472	1.1276709700937861	-1.3132222615838676	-1.2040660049469203
NFKB2	1.1009277252879728	1.3831842479671834	-1.075367954143943	-1.2478998161991426	0.46177277645835296	0.23802881134105006	-0.9406374508785753	0.07999166016710729
GBP1	0.6663247940134122	1.0881585639062037	0.7780892410702859	1.0366770680060657	-0.5454111583686833	-0.5289734254910802	-1.2816223807505929	-1.2132427023856078
TNIP1	1.7798909160396323	0.9082402497394948	-0.037000266377353326	-0.09306600277809253	-0.24017170199658663	-1.6471981128866486	-0.3108765448242837	-0.35981853691617066
CCL5	0.7110777156312832	1.8766602331142797	-0.8244272202411398	0.38468835808964	-0.8244272202411398	-0.8244272202411398	-0.8244272202411398	0.32528257412935646
PLAUR	0.19203248758670025	0.6895333791702691	0.6966665433217692	0.8566428851990182	-1.9721516377232877	-1.082834471569108	0.22548398289332125	0.39462683112132735
IFIT3	1.3962602176082075	1.4525424196254857	-0.23692175972466117	-0.30420489920654625	-0.3672997403563161	0.3189206721655962	-1.0904398809919502	-1.1688570291198206
SQOR	-0.44404829729761613	1.4671352233443054	-0.8804739734258034	-0.7182551656739705	0.6576351521801908	1.3616801846617896	-0.5984317760610194	-0.8452413477278568
CXCL11	0.8357491517806919	1.9850674123230232	-0.6558655605758666	-0.6558655605758666	-0.6558655605758666	-0.6558655605758666	-0.6558655605758666	0.4585112387756176
IFIT2	0.9523683473423212	1.2496145582807752	-1.1847518705756543	-1.388126598763054	0.08333400690587027	0.9678951995377734	-0.2267363779677492	-0.4535972647602885
SDC4	0.46409839831509264	0.7733274937435868	0.12570417815425203	-0.004214078230830927	0.7079328695345081	0.9371161575771119	-1.1281513934584313	-1.8758136256353413
STING1	1.0040339987321891	1.0770529948291678	0.4691920002891681	0.4725586805646245	-0.06976319539377082	0.001958167584050587	-1.57089733556771	-1.3841353110377161
OASL	1.3433672756444557	1.2463141669726074	0.504517558776578	0.45427604419991524	-0.9460205826819986	-0.7403856827606169	-0.8842118774246835	-0.9778569027262579
IL6	1.552373796295333	1.283762870804327	0.4024699313158713	-0.09472032226719572	-0.9695018846398444	-1.1296259969312479	-0.45387498474256693	-0.590883409834677
ISG15	0.877293820868642	0.5953724399108742	0.7657024293946729	0.6782877707096108	-1.4067703652844215	-1.6743345083166938	-0.047375471071422405	0.2118238837887355
MX2	1.5390200022291276	1.4468843733536492	-0.32041069063113203	-0.5455944153733162	0.17781846863177614	-0.28772573449397043	-1.0447913065331176	-0.9652006971830167
IFIT1	1.4823701868326213	1.5582136835331872	-0.466811411601105	-0.4735723416750097	-0.3187491525610845	0.12334292289085917	-0.9791430946312227	-0.9256507927882462
ISG20	1.6019918152304762	1.160060880346774	0.11453842437818701	0.27272704377808604	-0.37817370826040553	-0.6665092350899167	-0.7373674020329416	-1.3672678183502593
SAA2	1.3682479282666666	1.5704552503151827	0.26906071924402575	-0.16101957247603607	-0.6781058584771715	-0.40337731223320106	-0.9134192130144065	-1.0518419416250588
