	SRR29733226	SRR29733227	SRR29733228	SRR29733229	SRR29733222	SRR29733223	SRR29733224	SRR29733225
Gene	STING WT	STING WT	STING WT	STING WT	STING KO	STING KO	STING KO	STING KO
SOD2	0.8624849365179438	0.803637246339441	0.9814559416535761	1.0761403387884643	-0.8449385185211266	-0.9425563633918985	-1.0460176299836796	-0.8902059514027253
PPM1K	1.3637186730459485	0.9912308078631608	0.3475505649118064	0.7550602495462612	-0.4871879194300455	-0.5657301525483164	-1.2979001499828602	-1.1067420734059565
NFKB2	0.39051160554110886	0.6243890805516527	1.3204827150609153	1.1939224974069815	-1.1339334991571965	-0.9361628704901129	-0.5540184520552542	-0.9051910768580993
GBP1	1.1389859238747277	0.6447465815395665	0.7953846993066944	1.0853600398071617	-0.8494593358668178	-0.9010494785034499	-1.1928451625498306	-0.721123267608047
TNIP1	0.8653386866078141	1.0019577230120746	0.9342754668490282	0.935420599144079	-0.8880460597499331	-0.9617731161415513	-0.8933747452145795	-0.9937985545069279
CCL5	0.8271406026610872	0.8321687116593174	1.0337763083986742	1.035945176218002	-0.9586232816960404	-0.8965126925713877	-0.8980675736272855	-0.9758272510423661
PLAUR	0.5795795877370884	0.6824888268669674	1.1961528258323693	1.1539497398074505	-1.1265706275576426	-1.0391193295130021	-0.5803578973739356	-0.8661231257992965
IFIT3	0.9524702674779992	0.8130810037830103	0.9143562122858191	1.0496053710655817	-1.0020861253218005	-0.9661591373872069	-0.9321561526444875	-0.8291114392589154
SQOR	0.698401431278873	0.7308490592555471	1.1200859489061517	1.135192384620073	-1.0097366551940383	-0.8796257469375816	-0.7746604677315584	-1.0205059541974666
CXCL11	0.6509399194335823	1.1547127492549587	0.7294068803617122	1.1226891470944613	-0.7448036266812188	-0.7591616378088227	-1.0768917158273368	-1.0768917158273368
IFIT2	1.084874466478842	0.922914837733735	0.8024341742768466	0.9175980678066346	-0.9637073592243568	-0.921634706904256	-0.9915286139209043	-0.8509508662465429
SDC4	1.0225417590357713	0.92427972061924	0.8760981244073263	0.8975466327966986	-0.7231374997488318	-0.9206729861533436	-1.047309035722696	-1.0293467152341893
STING1	0.3122711960442861	0.537437705701553	1.3408271061598254	1.30627806224843	-1.0118226211600034	-0.7375053478168412	-0.7873870535950567	-0.960099047582192
OASL	0.8836925998363084	0.8846948093822578	0.9551023568537694	1.0145403721559434	-0.9302305795779345	-0.9577215488107444	-0.9034058479574808	-0.946672161882119
IL6	0.47512253068411475	0.44092207911775977	1.290723116030041	1.317475005059455	-1.0454699578542848	-0.9545958762956108	-0.683598246194222	-0.8405786505472531
ISG15	0.09129501693330583	0.2984431089871418	1.3342273730861987	1.4133107500452724	-1.228781046126391	-1.1487415708005604	-0.4384606223866822	-0.32129300973828134
MX2	0.9880758416494617	0.8302202888606283	0.8360096327153449	1.0724808775571049	-0.9794565682262106	-0.9155159718073947	-0.986748249076776	-0.8450658516721593
IFIT1	1.0912856985681727	0.8534292191593006	0.7159181922559982	1.0430792439316354	-0.898851038097235	-0.7730205649179701	-1.0884411444693411	-0.9433996064305564
ISG20	0.3044973841680682	0.5301563809733542	1.333943966700303	1.2500514801533293	-1.126850452694409	-1.1684213097319152	-0.6570606245907458	-0.4663168249779889
SAA2	0.9738413997534596	0.9340012855080989	0.9182087459986967	0.9074959437692633	-0.9727024600786758	-1.0480086730115294	-0.8813388674310636	-0.8314973745082489
BIRC3	1.1668326847181916	0.9691883213045611	0.5893819958911779	0.7975510628786753	-0.464693772766457	-0.5445091770535336	-1.4048853010577111	-1.1088658139149008
RICTOR	1.0562793954806742	0.518792726264131	-1.0252402631047324	-0.24741414045514828	1.138847565246777	0.6274554868155707	-1.6141532854080738	-0.4545674848391985
C6orf62	1.320521281433023	0.40504322483701294	-0.9998441499882079	0.0738314017600631	0.9396460166009684	0.3397762519661949	-1.7205065033240228	-0.35846752328503145
CASP1	1.7291837259957006	0.6184850049883136	-0.2754286083740075	-0.1923579382586174	0.041279197748009304	0.561780204377029	-1.0019535553297074	-1.4809880311467158
B2M	0.838795131325157	0.8052001496940687	0.8557176907155709	1.1841448607537586	-1.0045973730614162	-0.8345994440582001	-1.15305153441323	-0.6916094809557447
APOL1	0.4996459971644765	0.15884341738567903	-0.7750987406007536	-0.7417752484753105	1.4753884872532148	1.26962149769424	-0.9968216483343265	-0.8898037620872445
SAR1A	1.4081396722306037	0.6987056474396035	0.2525488424507397	1.07500093918425	-0.577459729090039	-1.2032789881268873	-1.1104788260551866	-0.5431775580330547
STAT1	1.1776086038206919	0.9000386764681408	0.5640089988291678	1.0048121986850262	-0.7389446583184435	-0.9033760018080382	-1.231184150243561	-0.7729636674329812
EIF2AK2	1.4709123454805109	0.9746190754534871	0.08891869107920006	0.5934362582235301	-0.16565108274230222	-0.48071332503865	-1.5481371321562518	-0.9333848302995051
EXT1	1.543875272982829	1.3660316297719663	-0.16894519432457997	-0.09286131739887785	0.11103395162898662	-0.5958124935768283	-1.1361551797556033	-1.0271666693279344
IRAK2	0.8125189493967315	0.9107646914799389	0.9786745232002348	1.019148540451979	-0.8243835079665989	-0.991830952693149	-0.8178931092329351	-1.0869991346361985
STARD4	0.8079801840076836	0.3582908644056938	-1.3288389303488535	-0.4100857044162979	1.3221658412803572	0.9025420387206444	-1.2487954952543396	-0.40325879839489
XRN1	1.1357882642750248	0.4573998887524123	-1.320149156295677	-0.8979519545028677	1.011715098751134	0.811620076838831	-1.1242141359439763	-0.0742080818748917
IFIH1	1.144744055697519	0.8999233132823828	0.6980279832393657	0.9065992025914644	-0.6726647932187987	-0.7330535584439839	-1.3004936756084713	-0.9430825275394772
NFKBIA	1.0703456166799703	1.0862779616963016	0.709448899734641	0.766390647486969	-0.6340213349661867	-0.6487999975789389	-1.1881497564910501	-1.1614920365616954
NCOA7	1.6344085167721243	1.3560033870377428	-0.5017560657439666	0.022875733728500165	-0.18610030662539426	-0.5937561154506085	-1.2848555369463017	-0.44681961277209264
SAT1	0.898815815511318	0.5413813063109629	-0.4751941186384932	-0.16371190628832882	0.6671929947365507	1.2360370963367586	-1.4424652182628321	-1.2620559697059457
NBN	1.5926342014958574	1.1363686760192877	-0.0635521795413815	0.1912983425385592	-0.12836540181880404	-0.48831751747691554	-1.5487922057208245	-0.6912739154957787
CD55	-0.13186001056549912	-0.36110535350264084	1.479607202779893	1.5338888489349425	-1.064783166843261	-1.0428839256494646	-0.1642113226402442	-0.24865227251372166
C5orf15	1.0407252663251936	1.0379346552056734	-0.9253489593527078	0.5870404120459084	0.26841003664717844	-0.05349764606006078	-1.886549174766826	-0.06871459004436824
SEMA3A	1.4034081050997191	1.0012717801368853	0.4379237366116206	0.6863995270830281	-0.6280897136579136	-0.8320053828671313	-1.297188771522254	-0.7717192808839654
NCF2	0.3956535169264291	0.4152524582704944	1.2813562945047567	1.3814822508162086	-0.9549696063936385	-0.6479034593125561	-0.7960967778664755	-1.0747746769452189
ERAP1	0.15422017763096643	-0.5918005355996595	-0.9586078024855818	-0.7856230251851262	1.4897012905958273	1.507470027129381	-0.7722167005491894	-0.04314343153662961
PRRG4	-0.06945604153675332	-0.1890024299032546	-1.587833755928644	-1.0242510652271868	1.3612487479212583	1.1145666734970687	-0.13125863604132973	0.5259865072188399
MASTL	1.4938329739235698	1.1470467976941092	0.014903116156688611	0.5681246812286387	-0.9040658125673224	-1.1955383039369885	-0.916470069933553	-0.20783338256515527
NEK7	0.3954378667344849	0.2081542675363251	-1.8187079326908335	-0.8378379884059416	1.0725775278125693	0.6378963859550641	-0.5951310803752186	0.9376109534335577
SMARCA5	1.6500009777532187	0.8907920836334013	-1.144097005635851	-0.7535947348463516	0.5743112073582101	0.13556898037424914	-1.0909973657028584	-0.2619841429340452
SH3KBP1	1.1834389003786745	1.1856572870671498	0.611970807253115	0.5916358032032664	-0.7490192422099707	-0.8924864701455573	-0.6142974198549737	-1.316899665691704
CD2AP	1.0573863121694405	0.6929348440704749	-1.4618019631764627	-0.40732782496899356	0.9024358175598414	0.5634864053453364	-1.401474958763151	0.05436136776351805
LIPA	1.1032958571477987	0.3232429840691875	0.3661927987270063	1.4740702406745771	-0.6750048887790009	-1.3123142790056113	-1.0727157272465864	-0.20676698558736178
TOR1B	1.4576484676550274	0.5622542588859174	0.6063746193903694	0.8985367656764326	-1.141287537684994	-1.0944986018461218	-0.4820153625391044	-0.8070126095375598
TMEM154	1.5106025869895978	1.187442726158646	0.05160647867771302	0.2082491548363197	-0.044733442713734826	-0.44700937044322764	-1.3311663474097986	-1.1349917860955134
BST2	0.1740894864637829	0.21946229621173252	1.343945223695808	1.4481839866333241	-1.1583031863716489	-1.1277138425718796	-0.44908318089943633	-0.4505807831616664
SP100	1.2283149420787183	0.7171397508128964	0.3795372319405023	0.8062626863511381	-0.06123094347072744	-0.24282198875848085	-1.6621954267428372	-1.1650062522112137
FGF2	1.2024892364882613	1.065089901824731	0.4209579842558282	0.8990596943584338	-0.7219698806350485	-0.9484472973406233	-1.2548224225515439	-0.6623572164000397
IL7R	0.57451911056	0.5493414747845995	1.1777471491033698	1.240486043513528	-1.1808262884518848	-1.1415663817350332	-0.588662812739055	-0.6310382950355233
SERPINE1	0.6641589422812942	0.7606373340213816	1.1344134114061606	1.0721683628802139	-0.6622217672444233	-0.6602073088606775	-1.1105944458186754	-1.1983545286652697
DDX60L	1.154206789045571	0.9028245328896753	0.5677005297853621	0.9740217354490485	-0.6215131597768748	-0.6206947846615897	-1.3077294003183482	-1.0488162424128342
ENPP1	1.1857252967862535	1.2825120762349709	-0.7264812870696076	-0.35565721222896274	0.2837665084904342	-1.351642828681174	-0.9766859269800963	0.6584633734481806
RNF149	0.6884749286087043	0.24113821137623567	0.24515109546661099	1.0590805605942113	0.5874278445480098	0.015872818574515453	-2.0953604899252327	-0.7417849692430752
C4BPB	-1.4092407182076638	-0.29244703822328416	0.03629370316764093	-0.8479790990677798	1.913394781958567	0.06524531371608659	-0.1797482662748043	0.7144813229312388
ZNFX1	1.5858184273992457	1.1338030931065795	-0.37084212611568046	-0.2549747324585774	0.27022174096038876	0.04588603651145744	-1.3002719168835954	-1.1096405225198296
PXK	0.6730582536573753	0.26353753712780487	1.5154532122402582	0.9421555027331252	-0.4971783643750509	-0.6414813222149857	-1.340914727644656	-0.914630091523885
CD274	1.2469494505517984	0.6757957588195905	0.9888926783119474	0.7500977945208247	-1.075478686347358	-0.6682928670348003	-0.9075098926818363	-1.0104542361401676
BMAL2	1.61654839605598	1.096754790750212	0.0036672518212918777	0.07278595698703523	-0.0689516678750858	-0.2666256089535366	-1.4406871325414647	-1.0134919862444443
APOL2	0.9223084373727966	0.7077491118774737	-1.337956825997704	-1.0405060486871727	1.0756245362870587	0.908809938614379	-0.7381589850201623	-0.49787016444665294
GTPBP1	0.9478844707519396	1.5545932071514743	0.10341327478904336	-0.15054030162229481	0.27724857356473676	-0.10671958952789051	-1.5532734722953552	-1.0726061628116488
NECTIN2	-1.0398999119344965	-0.4329605255915329	1.3399657487041186	1.0743695188805065	-1.0407801397344876	-1.0255697907383396	0.6451617755937022	0.47971332482053375
SYT13	-0.8119796684026797	-0.8119796684026797	-0.8119796684026797	-0.8119796684026797	1.5183199793479165	1.4162742394255587	0.12101335327324704	0.19231110156399628
UBE2L6	0.8197009394363975	0.8773189188223369	0.9981942273111379	1.0220135034350164	-0.9161659093542583	-0.7826716161353859	-1.1288079731713232	-0.8895820903439182
