	SRR31642076	SRR31642075	SRR31642074	SRR31642073
Gene	control	control	agonist	agonist
SOD2	-0.847397554250898	-0.8815513235283424	0.7932264984001592	0.9357223793790798
PPM1K	-0.8320974270946937	-0.8990651395027641	0.8451627774876088	0.885999789109849
NFKB2	0.45860380326594097	1.1917665801266686	-0.8864786209258997	-0.7638917624667212
GBP1	-0.8566604312236177	-0.8753397330919611	0.8653027115021654	0.8666974528134139
TNIP1	-1.228458893395069	-0.401905087176181	0.802578546938276	0.8277854336329641
CCL5	-0.936140685399309	-0.7929290990607414	0.8589268071526353	0.8701429773074149
PLAUR	-1.1460978083200295	-0.5158934240242148	0.9710069739578876	0.6909842583863566
IFIT3	-0.8654018216729198	-0.8666471645917375	0.8643611020059574	0.8676878842587005
SQOR	-1.0015224174630268	-0.7189416393767344	0.8664562171437881	0.8540078396959744
CXCL11	-0.879311226053906	-0.8526151862393168	0.8598573429711702	0.8720690693220529
IFIT2	-0.8429501509128454	-0.8887866989460435	0.8615679439672624	0.8701689058916265
SDC4	0.9921667064906102	0.7089438105195719	-0.668737486386505	-1.0323730306236327
STING1	-0.9071359482229838	-0.8230941021602783	0.902347113542426	0.8278829368408347
OASL	-0.8628283477547029	-0.8692110979147184	0.8691010289994743	0.8629384166699468
IL6	-0.8983853363102449	-0.832869313598231	0.8481464417631727	0.8831082081453038
ISG15	-0.9393673088105475	-0.789401034712507	0.8719694452941258	0.8567988982289292
MX2	-0.8780550889080252	-0.8538947427409027	0.8605934900006831	0.8713563416482446
IFIT1	-0.8757323569953329	-0.856263740702757	0.8660430400421613	0.8659530576559288
ISG20	-0.8753110471727087	-0.8566869420396844	0.8681826518851734	0.8638153373272196
SAA2	-0.45233869651240016	-1.1875893194648774	0.9619840121021923	0.6779440038750847
BIRC3	-0.6893099191045986	-1.0211662318598784	0.7572405479012203	0.9532356030632557
RICTOR	-0.37179220417326575	-1.2429357527991272	0.7260987220246061	0.8886292349477848
C6orf62	-0.8741777976927814	-0.8570503013178716	0.8288540601832803	0.9023740388273783
CASP1	-0.8870191745293503	-0.8442682528251193	0.8362326338682345	0.8950547934862344
B2M	-1.0653295217234116	-0.6372367907714189	0.7818704109811667	0.9206959015136603
APOL1	-0.9044978980184543	-0.8266556043728913	0.8718153334935743	0.8593381688977718
SAR1A	-0.8637351726053092	-0.8681368884247637	0.8484792743391028	0.8833927866909693
STAT1	-0.8039649021898734	-0.9257807734607673	0.8481344938038198	0.8816111818468213
EIF2AK2	-0.7178698552093202	-1.002002286117251	0.8310034045060992	0.8888687368204736
EXT1	1.2126975283622203	0.4274602338536629	-0.8482188055877126	-0.7919389566281531
IRAK2	-0.23330782347652237	-0.45174142190772004	-0.7770402286980644	1.4620894740823143
STARD4	-0.5582878270192533	-1.1257518778079991	0.8032735745500953	0.8807661302771559
XRN1	-0.5839599797229269	-1.1074721881028173	0.8138985927884216	0.8775335750373225
IFIH1	-0.861638859547584	-0.8703664801606278	0.8582755247972567	0.873729814910955
NFKBIA	-0.9975228664890554	-0.7040616589911706	0.675363698228543	1.0262208272516813
NCOA7	-0.7010717323033844	-1.0162127819745284	0.8333741307011212	0.8839103835767922
SAT1	-0.9465933331513183	-0.7814051011618591	0.8502544905804593	0.8777439437327181
NBN	-0.1785782310035566	-1.336694326959773	0.6285381976116691	0.8867343603516639
CD55	-0.854679280944186	-0.8769508924912321	0.8412292156982022	0.8904009577372141
C5orf15	-0.8117566117328008	-0.9182556280280022	0.8386752440700258	0.8913369956907795
SEMA3A	-0.5280373527826081	-1.1470692217694762	0.8027845047140173	0.8723220698380695
NCF2	-0.8449692618468185	-0.8868093851267502	0.871695351748675	0.8600832952248937
ERAP1	-0.5604459206882667	-1.120841367674638	0.7505006314522731	0.9307866569106303
PRRG4	-0.8565768516968473	-0.8746585956579547	0.8291461519407662	0.9020892954140359
MASTL	-0.7972666265637045	-0.932096621035131	0.8543570378554608	0.875006209743374
NEK7	0.6515971076366208	-1.4881645918609756	0.4919884876178282	0.34457899660653696
SMARCA5	-0.7676997032217844	-0.9588051027472475	0.8417987540880998	0.8847060518809328
SH3KBP1	-0.7056097423116048	-1.011134416616159	0.8030691433620579	0.9136750155656991
CD2AP	-0.5008097313637111	-1.158250781858302	0.7042229423197116	0.9548375709023017
LIPA	-0.7767307346538682	-0.9509240134978381	0.8595017532152358	0.8681529949364696
