	SRR13582761	SRR13582762	SRR13582763	SRR13582746	SRR13582747	SRR13582748
Gene	STING WT	STING WT	STING WT	STING KO	STING KO	STING KO
IL7R	2.041241452319315	-0.4082482904638631	-0.4082482904638631	-0.4082482904638631	-0.4082482904638631	-0.4082482904638631
CXCL10	1.8162514524898254	-0.7350618056723998	0.24267627842119557	-0.7350618056723998	0.1462576861061779	-0.7350618056723998
IFIT1	-0.8112447231909072	-1.1294555385728184	-0.7535078411938921	0.9729340523087828	0.6729600823067619	1.0483139683420706
SCN3A	1.4317453468816819	0.3644368678320562	0.774733552283395	-0.7609754978237517	-0.9101352453285023	-0.8998050238448797
SAA2	1.172193874902976	0.08874394173466651	1.2389361417104439	-0.8332913194493623	-0.8332913194493623	-0.8332913194493623
CEACAM1	1.442823879482995	0.02227966874524025	0.9471513279757926	-0.9899449033065716	-0.5903379967835929	-0.831971976113866
PFKFB4	-1.1439495668469772	-0.7257500118122395	-0.7850307460495498	1.2277378343092415	0.8204987288143298	0.6064937615851929
HERC5	-1.2365876464296708	-0.9297061994125989	-0.32996730033611105	1.0916204832841703	1.1019926852112056	0.30264797768304735
TRPC4	0.6785874328848818	-0.2598340307413146	0.15524938320091808	1.50926888655946	-1.0416358359519726	-1.0416358359519726
IDO1						
CCL5	-0.5855853839876984	0.5059350591023098	1.8364064768484836	-0.5855853839876984	-0.5855853839876984	-0.5855853839876984
SQOR	-0.663567752255771	1.850650726404793	-0.4314231374682194	-0.11166322055319991	-0.9256576937543163	0.2816610776267142
SLIT2	-1.0179029214914481	-0.9596866229672121	-0.632057853613071	1.2151273154761064	1.009109824531324	0.3854102580643009
FZD4	-1.1740458274614736	-0.07244018058079149	0.934148933498823	1.2679201451890558	0.1051079364012013	-1.0606910070468125
EXT1	-0.1315427014457935	-0.16457913293912	1.757397266443769	-0.2949981871153028	0.15849465555567763	-1.3247719004992105
SOD2	-1.00218506961114	-0.8053682936509029	-0.6976572415090786	1.3233905079985064	1.0439936852415406	0.1378264115310747
SDC4	0.9576295272988813	0.830157802329062	0.9468272533759424	-0.8603750896254786	-0.9554190612166275	-0.9188204321617797
PLAUR	-1.1873202259856177	-0.8390247134330232	-0.6476506385383555	0.9583842566806907	0.6619800043570807	1.0536313169192322
THEMIS2	0.8091512561905913	-0.4294918145170589	0.4157879403412703	1.3019794346455869	-0.8328646873799965	-1.2645621292803984
ISG20	-1.327880462051286	-0.03281122608340182	-0.9663623239610492	0.2394307469582712	0.8629964926974125	1.2246267724400512
IRAK2	0.7008072090131643	0.8341796154550841	-0.045753806886421056	0.10737791960517179	0.32526183115281954	-1.921872768339821
CFB	-1.5568343181360067	1.1206396064259165	0.4735866163029902	0.3268343012435348	0.4972242471015974	-0.8614504529380351
APOL3						
OASL	-0.016149578297847734	1.0747279370302074	-0.45197978790443244	-0.36529210863138445	-1.4393382948713076	1.1980318326747643
CD55	-1.2080836549768041	-1.0531873582590194	-0.0054028463169254574	0.9425289949176001	1.239246739915698	0.08489812471946652
CXCL11	2.041241452319315	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863	-0.408248290463863
RNF149	-0.48810948138235316	0.6021907539563437	1.5551063008112895	0.25232935145656415	-0.7723757729589049	-1.1491411518829233
SLC16A6	-1.3450969740266763	-0.16725504955996853	1.2403017713386517	1.1194942967480437	-0.3461230205023198	-0.5013210239977255
PSME1	-1.0930938570546116	-1.1805483520497657	-0.29463489073455873	1.1268518151196576	0.6312887910910994	0.8101364936281791
STING1	0.408798701849391	0.8516477133735255	1.3350054233837036	-0.9730156605657313	-0.6345386312531882	-0.9878975467877023
TNIP1	-0.7827461186634923	-0.6084215172703948	-0.9729715823457414	1.0212709760313876	1.4217061073010395	-0.0788378650527535
KRT17	-1.1864001215638602	0.8832448215230074	-0.05435532121245253	1.0959950267920482	0.4479157160251182	-1.1864001215638602
ISG15	-1.5352943479845258	0.16553211353623018	-0.5538020085821583	1.1204953738185524	1.0060193527916577	-0.2029504835797233
MX2	0.12848230658597087	-0.5524123201470362	1.822078734422019	-1.113004943142138	-0.34122802463987884	0.0560842469210641
IFIT3	-1.2399573994066946	-1.1158051269189526	-0.05823226198907818	0.7228011342477967	0.4839449898933858	1.2072486641735378
IFIT2	-0.8312285768486408	-1.2432532961337874	0.6015216794694216	1.4425868258222312	0.4152078976845013	-0.384834529993734
BIRC3	-1.1664715791242082	-0.4232019595291761	-0.49456898577014885	-0.32918396673562567	0.8944874644609908	1.5189390266981673
