	SRR17933305	SRR17933304	SRR17933303	SRR17933302
Gene	GFP	GFP	STING	STING
IL7R	-1.0207429870579883	-0.483339278454991	0.20736913716685867	1.296713128346134
CXCL10	-0.7637956927246999	-0.9623957749186485	0.8795581259865761	0.8466333416567723
IFIT1	-0.8011245693099633	-0.9284135531800701	0.8474971165613971	0.8820410059286361
SCN3A	-0.9535832368875862	-0.6113213441779108	1.2786891546206642	0.2862154264448321
SAA2	-0.9137289950406263	-0.8100677652653586	0.7543067822483926	0.9694899780575923
CEACAM1	-0.16329152934364113	-1.3412879529411275	0.6066827452880194	0.8978967369967484
PFKFB4	-0.9217447287181649	-0.7705929554339538	1.0957382046941126	0.5965994794580062
HERC5	-0.9185847350764088	-0.8088218087063073	0.7928418490507653	0.9345646947319513
TRPC4	-0.99042989279702	-0.7270398469613059	0.9470822945496179	0.7703874452087053
IDO1	-0.7852451868656604	-0.9415244105110885	0.9184082468888114	0.808361350487937
CCL5	-0.8322529695508414	-0.8990831145830867	0.8766732597676937	0.8546628243662343
SQOR	-1.0143960483938674	-0.4847688542602468	0.19629585639314123	1.3028690462609809
SLIT2	0.6381477164061892	1.0614090500497326	-0.7450603825904977	-0.9544963838654346
FZD4	-0.8485647943337429	-0.8746923413122802	0.9841918577786438	0.7390652778673859
EXT1	-0.5740155880448602	-1.111580330758622	0.7583039589976054	0.9272919598058769
SOD2	-0.7124654776491481	-0.9990823060222498	0.7342634374373181	0.9772843462340776
SDC4	-0.7150868140814507	-0.9966858314329582	0.733033958551287	0.9787386869631058
PLAUR	-1.2665135861712469	-0.33488208676276265	0.8286556025005406	0.7727400704334743
THEMIS2	-0.6279642935296609	-1.068334547718711	0.9613025487121168	0.7349962925362549
ISG20	-0.6814687952965577	-1.0311780923433158	0.8029739263104639	0.909672961329409
IRAK2	-0.7566194214635142	-0.968514002636236	0.8355018613327404	0.889631562767015
CFB	-1.0375744030006326	-0.6293874602268261	0.5708691873792776	1.0960926758481824
APOL3	-0.3780654632360807	-0.9122136736739378	-0.1270400069993463	1.4173191439093706
OASL	-0.8899070976567244	-0.8417714087272793	0.8577451734632463	0.873933332920757
CD55	-1.016088716288192	-0.6997463041933626	0.8037237760823297	0.9121112443992263
CXCL11	-0.8378771160340046	-0.8931160023352288	0.8328074411293899	0.8981856772398438
RNF149	-1.1470306597120163	-0.49670242888063665	0.613686178318241	1.0300469102744032
SLC16A6	-0.7482111342230777	-0.972603831318198	0.777885324793632	0.9429296407476456
PSME1	-0.2966418065092565	-1.088230781211169	0.07242767966775844	1.3124449080526766
STING1	-0.7839691989848216	-0.9442492395627068	0.8785345955343372	0.8496838430131912
TNIP1	-0.7124568894875022	-1.0069764987634495	0.8691486410037563	0.8502847472471917
KRT17	-0.7362566632587323	-0.9846215257410256	0.7982470284183112	0.9226311605814475
ISG15	-0.6966763106015444	-1.0200184070584457	0.8768431784618904	0.8398515391981023
MX2	-0.8168013150165458	-0.9138828840266828	0.8621966534990391	0.8684875455441903
IFIT3	-0.8966302986611601	-0.8344816413236146	0.8398633306016888	0.8912486093830858
IFIT2	-0.908836817843323	-0.8220326595290712	0.8527191704666398	0.8781503069057539
BIRC3	-1.0723097645799233	-0.6123697744336346	0.6748846209427753	1.0097949180707815
